mep,109166,110894,157271,157321,157420,160818,160956,162046,162314,164096,164186,168864
124985,1,1,-1,-1,1,-1,1,-1,1,1,-1,0
124986,1,X,,,,,,,,,,
124988,,,-1,-1,1,-1,1,1,1,-1,-1,-1
124989,1,1,,,,,,,,,,
124991,1,1,,,,,,,,,,
124992,1,X,-1,-1,1,-1,1,-1,1,1,-1,X
124996,0,1,1,1,-1,1,-1,1,0,-1,1,-1
125001,1,0,1,1,-1,1,-1,1,0,1,-1,X
125004,1,-1,1,1,-1,-1,1,1,1,-1,-1,-1
125005,1,1,X,X,X,-1,1,1,X,-1,-1,-1
125012,1,-1,1,1,-1,1,1,1,1,-1,-1,-1
58789,1,X,1,1,-1,-1,1,1,X,-1,-1,-1
125020,1,X,-1,-1,1,-1,1,X,1,-1,-1,1
125021,1,1,-1,-1,1,-1,1,X,1,-1,-1,1
37229,1,1,,,,,,,,,,
38511,1,0,1,1,-1,1,-1,1,0,1,-1,-1
125023,1,1,X,X,X,-1,1,-1,1,1,-1,X
125025,,,-1,1,-1,X,X,X,X,X,X,1
125027,-1,-1,X,X,X,,,,,,,
125030,1,-1,1,1,-1,X,X,X,1,-1,1,-1
125038,1,1,-1,-1,1,-1,1,-1,X,-1,-1,-1
125042,1,1,-1,-1,1,-1,1,-1,X,-1,1,1
125043,1,1,-1,-1,1,-1,1,-1,1,-1,1,X
125045,0,-1,-1,-1,1,-1,1,0,1,-1,1,-1
125046,1,1,-1,-1,1,-1,1,-1,1,-1,1,-1
125063,0,0,-1,-1,1,-1,1,-1,1,-1,-1,-1
125064,1,1,1,1,-1,-1,-1,1,X,-1,-1,X
125065,1,-1,1,1,-1,-1,1,X,1,-1,-1,-1
125067,X,-1,X,X,X,X,X,X,1,-1,-1,X
125068,X,X,1,1,-1,-1,1,1,1,-1,-1,X
125093,1,0,-1,0,-1,X,0,X,-1,1,-1,0
125104,1,-1,1,1,-1,-1,-1,1,1,-1,-1,-1
125106,1,1,1,1,1,-1,-1,X,X,-1,1,-1
125109,1,1,-1,-1,1,-1,1,0,X,0,-1,0
125110,1,1,,,,,,,,,,
125128,-1,1,1,1,0,-1,1,-1,1,X,X,X
88882,,,0,1,1,-1,1,X,1,X,X,-1
125214,1,1,-1,-1,1,-1,1,-1,1,0,-1,0
125237,1,1,-1,-1,1,-1,1,X,1,-1,-1,-1
125670,0,-1,1,1,-1,-1,1,1,1,-1,-1,X
125706,1,1,-1,1,1,-1,1,-1,1,X,X,-1
